2 3.500000 2.000000 0.500000 0.000000
4 0.500000 0.250000 0.250000 0.250000
8 0.250000 0.250000 0.125000 0.000000
16 0.250000 0.187500 0.062500 0.062500
32 0.250000 0.156250 0.062500 0.062500
64 0.281250 0.140625 0.062500 0.031250
128 0.273438 0.140625 0.054688 0.039062
256 0.281250 0.144531 0.058594 0.039062
512 0.269531 0.128906 0.058594 0.037109
1024 0.263672 0.129883 0.060547 0.037109
2048 0.263184 0.157715 0.063477 0.039551
4096 0.276855 0.166748 0.067139 0.042236
8192 0.278931 0.176514 0.084106 0.058472
