2 3.000000 2.500000 0.500000 0.500000
4 0.500000 0.500000 0.000000 0.250000
8 0.250000 0.500000 0.000000 0.125000
16 0.187500 0.187500 0.062500 0.062500
32 0.187500 0.156250 0.031250 0.000000
64 0.203125 0.156250 0.015625 0.015625
128 0.195312 0.125000 0.031250 0.023438
256 0.167969 0.128906 0.027344 0.019531
512 0.167969 0.117188 0.027344 0.017578
1024 0.160156 0.120117 0.026367 0.017578
2048 0.162598 0.137207 0.031738 0.022461
4096 0.153076 0.117432 0.024170 0.016357
8192 0.157349 0.108643 0.023438 0.015747
16384 0.153320 0.103821 0.022400 0.014465
32768 0.144348 0.084747 0.017365 0.011536
65536 0.134583 0.120911 0.017151 0.011780
131072 0.121109 0.075874 0.016487 0.010620
262144 0.123104 0.075417 0.016552 0.011005
524288 0.118711 0.075233 0.016312 0.011219
1048576 0.120998 0.061174 0.016271 0.011029
2097152 0.113051 0.061137 0.016352 0.010952
4194304 0.107054 0.063525 0.016344 0.011007
8388608 0.109089 0.067171 0.016358 0.011138
