2 19.000000 9.000000 1.500000 1.000000
4 8.000000 1.250000 0.750000 0.250000
8 5.375000 1.875000 0.375000 0.250000
16 3.687500 0.875000 0.312500 0.125000
32 2.437500 0.750000 0.218750 0.125000
64 1.921875 0.750000 0.171875 0.093750
128 1.421875 0.570312 0.148438 0.078125
256 1.214844 0.531250 0.132812 0.078125
512 1.093750 0.515625 0.125000 0.074219
1024 1.037109 0.501953 0.119141 0.074219
2048 0.937500 0.417969 0.110352 0.059082
4096 0.773193 0.413330 0.105957 0.059326
8192 1.019287 0.236816 0.067993 0.032471
16384 0.335144 0.126160 0.037170 0.017761
32768 0.299133 0.138367 0.136230 0.012604
65536 0.198624 0.078491 0.039688 0.011276
131072 0.246857 0.080864 0.069733 0.013710
262144 0.298603 0.088501 0.067867 0.015755
524288 0.374014 0.088930 0.074181 0.016771
1048576 0.493292 0.070680 0.095932 0.019073
2097152 0.532934 0.064611 0.094405 0.014643
4194304 0.605822 0.066127 0.165157 0.013637
8388608 0.737665 0.066471 0.148112 0.012561
